지점코드,지점명,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
S_0001_SG00,한양대정문 앞,16,3,3,5,"1,275","2,198","3,027","4,036","5,675","5,341","5,362","6,193","7,254","7,590","8,458","9,400","10,346","10,294","9,874","7,071","5,582","5,816","5,069","2,338"
S_0002_HD01,응봉사거리,5,0,0,109,"1,174","4,479","3,158","7,436","9,488","6,825","5,814","5,484","6,335","6,968","6,587","7,683","7,491","7,319","7,142","5,161","4,262","4,926","4,168","1,800"
S_0003_GH23,금호역,10,4,0,0,"1,781","2,011","3,793","5,958","8,576","6,799","4,773","3,582","3,879","4,445","3,911","3,576","3,199","3,168","2,591","2,252","1,901","2,024","1,492",699
S_0004_OS00,옥수파출소 앞,3,1,0,1,890,"1,234","1,388","4,682","5,033","4,805","4,150","3,954","4,007","4,361","4,851","4,441","4,701","4,472","3,646","2,810","2,613","2,218","1,630",801
S_0005_SJ00,성동세무서,2,1,0,3,"2,111","1,652","2,885","5,866","7,485","5,747","5,936","5,806","5,671","5,881","6,484","6,640","6,216","8,035","7,900","4,521","2,826","2,522","1,969",742
S_0006_GH23,신금호역,7,2,0,0,138,925,"2,190","4,503","7,075","6,113","4,964","4,425","4,874","5,221","6,455","6,047","6,103","5,677","5,634","4,760","3,761","3,543","2,543","1,370"
S_0007_SS21,성수동이마트,8,1,14,3,124,311,544,"1,240","1,778","2,120","2,643","3,257","4,079","4,257","5,706","5,936","6,429","5,535","5,405","4,224","3,890","3,361","2,152",856
S_0008_EB00,응봉동주민센터,25,7,13,5,97,"1,403","1,832","6,457","9,291","7,424","6,577","6,289","5,887","7,115","5,998","6,735","5,984","5,577","4,842","3,019","2,918","2,040","1,749",811
S_0009_HD01,성동구청 앞,36,0,3,2,931,"1,518","1,925","3,142","5,241","4,397","4,935","5,565","6,231","6,912","7,818","8,844","9,046","9,219","9,439","8,394","7,826","8,862","7,759","4,238"
S_0010_DS00,상왕십리역,20,1,0,8,"4,019","5,162","3,533","6,313","8,485","7,328","7,321","8,162","8,913","9,024","9,139","9,733","9,840","10,333","10,810","8,948","7,274","7,248","5,450","3,160"
S_0011_HD02,무학여고 앞,110,57,52,51,"8,055","6,362","6,792","10,510","10,393","9,408","9,849","9,231","10,787","10,606","9,608","10,462","11,772","10,099","9,347","6,245","5,181","5,564","4,688","2,176"
S_0012_MJ00,마장축산물시장(동대문방면),29,85,79,0,230,"1,253","2,672","4,662","8,618","6,956","7,101","8,053","9,842","10,667","11,883","12,770","12,314","12,161","10,766","6,401","4,339","3,977","2,933","1,178"
S_0013_MJ00,마장축산물시장(도선사거리),31,12,13,17,"4,035","4,319","3,385","5,629","7,194","6,968","7,151","7,948","8,151","8,139","7,401","7,998","8,417","8,232","8,026","5,681","9,876","8,358","2,737",934
S_0014_YD00,용답동동부시장.답십리역,20,2,0,9,445,826,"2,672","4,824","8,050","6,071","5,073","5,556","7,293","6,937","7,439","7,931","8,943","10,272","11,819","9,905","6,820","8,325","7,398","3,548"
S_0015_HD02,행당역.대림아파트정문,15,1,3,1,51,572,"1,184","2,804","5,364","4,920","7,161","8,920","10,421","10,332","11,092","14,232","14,448","14,118","13,801","10,810","8,069","7,762","6,561","2,299"
S_0016_SS12,서울숲(성동구민종합체육센터),35,18,16,28,498,"1,083","1,574","3,722","7,192","5,716","4,322","5,242","6,830","7,665","8,061","9,777","9,919","10,115","9,127","5,473","3,917","4,013","2,832","1,202"
S_0017_SS23,화양사거리(성수초방면),9,2,0,3,555,"2,583","2,702","6,349","8,789","7,615","5,092","5,536","6,282","6,317","6,229","6,730","7,236","7,716","7,759","4,736","2,933","2,596","1,863",852
S_0018_YS02,상왕십리역(왕2동주민센터),7,2,1,12,493,"1,601","2,297","5,871","8,033","5,497","6,092","6,788","7,864","8,242","8,486","8,874","8,559","8,542","8,854","6,750","5,227","5,518","4,288","2,004"
S_0019_SS23,뚝섬역3번5번출구,1,1,1,41,"1,437",302,962,"2,077","3,569","3,161","3,252","3,127","4,204","4,553","5,179","5,867","5,690","5,527","6,712","4,713","3,956","3,833","3,131","1,541"
S_0020_SJ00,송정동건영아파트,4,0,1,0,"1,490","3,022","3,911","6,206","7,611","6,395","5,803","6,131","6,549","6,788","5,725","5,590","5,825","5,204","4,680","3,909","3,186","2,869","2,319","1,203"
S_0021_HD01,왕십리역 4번출구,240,37,24,29,351,496,"3,024","5,321","9,270","7,430","7,617","9,516","11,088","12,498","13,437","15,054","15,869","14,819","12,671","9,168","7,680","8,217","8,296","4,632"
S_0022_SS12,성동교 남단,5,0,0,11,"1,070",892,"1,162","1,341","1,494","1,536","2,021","2,927","3,132","3,312","4,197","4,850","5,546","5,652","6,741","4,597","3,617","3,478","2,404",772
S_0023_DS00,"센트라스아파트,성동교방면",5,0,0,14,"1,056",999,"1,415","2,789","4,333","3,781","3,549","3,809","4,220","4,046","4,121","3,874","3,754","3,867","3,670","2,619","2,106","1,889","1,778",761
S_0024_DS00,"코스모타워,서울신용보증재단",23,8,9,26,"1,669","1,220","1,621","2,159","4,399","3,390","4,280","5,223","6,185","6,655","6,550","6,225","5,716","5,193","4,384","4,067","3,146","2,987","2,559","1,690"
S_0025_EB00,응봉현대아파트,0,0,1,0,186,348,449,"1,605","3,127","2,669","2,485","2,134","2,244","2,342","2,169","2,482","2,406","1,749","1,352",876,764,682,424,180
S_0026_HD02,행당역,0,1,0,2,236,677,"1,574","4,101","5,576","4,990","4,582","4,857","5,659","5,906","6,111","5,982","5,939","5,512","5,483","3,856","2,663","2,242","1,528",588
S_0027_SS12,성동구민종합센터,0,0,0,0,178,307,742,"1,111","1,712","1,792","2,008","2,407","3,302","3,777","4,530","5,358","5,741","5,268","5,441","3,649","3,314","2,678","1,508",693
S_0028_SJ00,장미소공원,63,173,198,184,19,275,891,"1,420","1,938","2,791","2,445","2,140","2,531","2,448","2,100","2,368","2,203","1,825","1,445",957,809,694,447,236
S_0029_HD01,성동구청(한전입구방면),8,0,0,2,249,241,263,657,"1,384","1,037","1,293","1,315","1,592","2,048","2,250","2,534","2,608","2,365","2,661","2,152","1,833","2,158","2,078","1,429"
S_0030_SS11,서울숲(뚝도아리수정수센터방면),0,0,0,2,34,22,42,103,222,393,302,404,410,547,591,694,729,704,734,559,398,322,247,116
S_0031_GH04,금호역,0,0,0,0,0,27,56,52,137,165,161,177,610,370,250,242,285,338,295,197,98,80,74,39
S_0032_YD00,신답역,0,0,0,1,5,25,81,213,316,328,202,256,316,308,365,539,590,630,759,535,241,299,325,217
S_0033_GH04,힐스테이트서울숲리버아파트,0,0,0,0,86,150,148,378,613,888,613,738,735,822,753,839,841,887,758,425,405,286,341,104
S_0034_MJ00,마장역,0,0,0,1,17,54,157,304,341,402,494,601,781,697,621,718,658,725,785,623,423,392,204,144
S_0035_GH04,금호역,0,0,0,0,13,113,140,257,404,374,367,383,558,461,485,447,444,359,406,213,129,108,110,51
S_0036_MJ00,"성동사회복지관,청계천박물관",0,0,0,0,10,44,107,182,267,349,400,519,443,503,403,542,684,563,335,171,141,133,70,32
S_0037_SS12,뚝섬역2번출구,0,0,0,0,12,16,34,40,62,49,66,63,145,136,161,144,137,165,146,127,99,79,77,51
S_0038_SS12,뚝섬역4번출구,1,0,0,0,17,21,18,104,161,207,233,314,356,409,346,413,434,487,510,346,178,167,160,82
S_0039_GH01,삼성래미안아파트앞,0,0,0,0,56,59,128,364,392,407,412,434,453,484,507,560,509,428,401,277,171,105,139,45
S_0040_HD02,논골신협대림아파트후문,0,0,0,0,5,39,91,167,329,317,254,326,355,370,379,316,385,262,271,166,109,99,59,40
S_0041_SS12,상원,1,0,0,0,2,31,29,63,118,138,139,176,155,258,241,291,311,283,333,146,78,88,64,53
S_0042_SJ00,군자교남단,0,0,0,0,27,51,95,164,233,241,222,191,270,294,195,210,203,199,165,147,95,58,37,25
S_0043_SG00,"한양대앞,한양시장",0,0,0,1,24,59,33,85,75,101,152,172,257,297,270,294,390,466,342,236,146,174,121,90
S_0044_MJ00,성동노인복지관,0,0,0,0,58,33,61,142,405,278,473,608,531,400,457,563,490,422,313,316,384,152,252,55
S_0045_SJ00,제인병원,0,0,0,0,3,13,11,63,73,121,128,129,234,201,190,298,202,181,183,102,67,87,88,11
S_0046_SS23,성수사거리,2,0,0,1,36,74,68,119,324,351,387,549,603,737,747,907,"1,103",897,946,616,412,365,274,91
S_0047_MJ00,성동구도시관리공단,0,0,0,1,10,21,33,69,189,169,246,281,273,311,298,304,448,463,324,150,109,81,87,18
